# key	file (under the source root)	start_s	dur_s	fade_s	channels	root_midi (measured; - for unpitched)	source
hp_B5	harp/harp_pluck_mf_B5.wav	0.02	2.5	0.8	1	82.92	vsco2ce
hp_D6	harp/harp_pluck_mf_D6.wav	0.013	2.5	0.8	1	85.93	vsco2ce
hp_A6	harp/harp_pluck_mf_A6.wav	0.03	2.5	0.8	1	92.83	vsco2ce
tmp_F#2	timpani/timpani_hit_Fs2.wav	0.009	3.0	1.0	1	41.95	vcsl
tmp_A2	timpani/timpani_hit_A2.wav	0.0	3.0	1.0	1	45.37	vcsl
tmp_C3	timpani/timpani_hit_C3.wav	0.0	3.0	1.0	1	48.07	vcsl
tmp_D3	timpani/timpani_hit_D3.wav	0.002	3.0	1.0	1	50.03	vcsl
tmproll	timpani/timpani_roll_Fs2.wav	0.001	5.0	0.4	1	41.81	vsco2ce
bd_pp	bass_drum/bass_drum_hit_pp.wav	0.059	2.0	0.8	1	-	vcsl
bd_mf	bass_drum/bass_drum_hit_mf.wav	0.053	2.2	0.8	1	-	vcsl
sn_p	snare/snare_hit_p.wav	0.004	1.0	0.3	1	-	vcsl
snroll	snare/snare_roll.wav	0.009	3.5	0.3	1	-	vcsl
shk_hit	shaker/shaker_hit.wav	0.0	1.0	0.3	1	-	vcsl
shk_down	shaker/shaker_shake_down.wav	0.01	1.2	0.3	1	-	vcsl
tri	triangle/triangle_hit.wav	0.009	3.0	1.0	1	-	vcsl
cymsw	suspended_cymbal/suspended_cymbal_swell_4s.wav	0.768	5.6	0.6	1	-	vcsl
cymh	suspended_cymbal/suspended_cymbal_hit_soft_mallet.wav	0.0	3.5	1.2	1	-	vcsl
slg	sleigh_bells/sleigh_bells_shake.wav	0.0	2.4	0.6	1	-	vcsl
bell1	bicycle_bell/bicycle_bell_ring_1.wav	0.108	2.4	0.6	1	-	bigsoundbank
bell2	bicycle_bell/bicycle_bell_ring_2.wav	0.175	2.4	0.6	1	-	bigsoundbank
whistle	steam_whistle/steam_whistle_whistle.wav	0.1	2.9	0.5	1	-	bigsoundbank
